S04bsu014_u	Daśabhūmika sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu014_u.htm
S04bsa052_u	Dharmasamuccaya [Saddharmasmṛtyupasthānakārikā]	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa052_u.htm
S04bsu016_u	Gaṇḍavyūha sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu016_u.htm
S04bsu062_u	Guṇakāraṇḍavyūha sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu062_u.htm
S04jnalokau	Jñānālokālaṃkāra sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/jnalokau.htm
S04bsu019_u	Kāraṇḍavyūha Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu019_u.htm
S04bsu018_u	Karuṇāpuṇḍarīka sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu018_u.htm
S04bsu020_u	Kāśyapaparivarta Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu020_u.htm
S04kasyparu	Kāśyapaparivarta Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/kasyparu.htm
S04bsu022_u	Lalitavistara	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu022_u.htm
S04bsa053_u	Madhyamakāvatāra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa053_u.htm
S04mahama_u	Mahāmantrānusāriṇī mahāsūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/mahama_u.htm
S04mpsu_w_u	Mahāparinirvāṇa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/mpsu_w_u.htm
S04mavadsuu	Mahāvadāna sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/mavadsuu.htm
S04bsu009_u	Maitreyavyākaraṇa	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu009_u.htm
S04maivy_pu	Maitreyavyākaraṇa	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/maivy_pu.htm
