	title	vol	Name of Author	Claimed Provenance	start	end	Colophon
014(pha)011	dpal rdo rje sems dpa' sgyu 'phrul drwa ba'i grol byed lam gyi snying po'i don khrid/	14	sMin gling mkhan chen 02 Dharma Śrī	Tib	579	590	kun mkhyen ngag gi dbang po rdo rje gzi brjid kyis mdzad pa'i rdzogs pa chen po sems nyid ngal gso'i dge ba gsum gyi don khrid byang chub lam bzang las khol du phyung ba'o || 
014(pha)012	sgyu 'phrul drwa ba'i gzhal med khang gi rnam par bzhag pa gsal ba'i sgron me'i rtsa ba/	14	sMin gling mkhan chen 02 Dharma Śrī	Tib	591	602	de ltar sgyu 'phrul d+r+wa ba yi || rten gyi dkyil 'khor gsal sgron 'di || rje btsun bla ma'i dgongs pa bzhin || smyos btsun d+harma sh+r+Ai yis || tshig sbyor spangs te go bder sbyar || 'di ni mkhas 'dod ma yin te || sngags pa blo gsar don du'o || dge bas 'gro kun 'tshang rgya shog ||
014(pha)013	sgyu 'phrul drwa ba'i gzhal med khang gi rnam par bzhag pa gsal ba'i sgron me'i 'grel pa/	14	sMin gling mkhan chen 02 Dharma Śrī	Tib	603	682	ces khro bo'i lo nag pa zla ba'i mar ngo'i dus tshes bcu'i nyin o rgyan smin grol gling gi chos grwar sug bris su sbyar ba'o ||
014(pha)014	ma hA yo ga'i dbang thams cad kyi thog mthar 'gro ba'i rgyug byang lhan thabs/	14	gZhan phan mtha' yas 'od zer	Tib	683	730	zhes pa 'di yang rnal 'byor ma ak+Sha ra sh+r+Ai d+Ai paM gyis mdzad pa'i zhi khro na raka dong sprugs kyi dbang gi mtshams sbyor dang | lo chen rin po che d+harma sh+r+Ai'i dbang gi 'khyogs mtshams kyi bshad pa dag las khol du bton nas 'khrugs bsdebs kyi rim pas gtan la phab pa ste | btsun pa gzhan phan pas snga 'gyur bka' ma'i dbang chog rnams kyi yan lag tu legs par sbyar ba'o ||
015(ba)001	tshe dpag med lung lugs kyi brgyud 'debs/	15	gZhan phan mtha' yas 'od zer	Tib	1	2	zhes rgyal sras gzhan phan mtha' yas kyi gsung la brgyud pa'i khyad par gyis gter chen nas bdag gi rigs bdag bla ma'i bar kha bsgyur ba po ni 'jigs bral ye shes rdo rje'o ||
015(ba)002	bcom ldan 'das tshe dpag tu med pa'i sgru thabs 'chi med mchog ster/	15	Gyur med rdo rje gter bdag gling pa	Tib	3	32	
015(ba)003	tshe dpag med lung lugs kyi sgrub thabs mdor bsdus dbang chog dang bcas pa/	15	Gyur med rdo rje gter bdag gling pa	Tib	33	52	
015(ba)004	ring 'tsho'i cho ga sgrub pa'i rnam par bzhag pa 'chi bdag slu ba'i rtog pa'i don 'grel tshe dbang dga' 'khyil thig le/	15	Yon tan rgya mtsho Blo gro mtha' yas	Tib	53	112	 ces pa 'adi'ang thams cad mkhyen gzigs rdo rje 'dzin pa 'jam dbyangs mkhyen brtse'i dbang po'i zhal snga nas bka' stsal gnang ba gtsug tu mchod de snyoms las pa karma ngag dbang yon tan rgya mtshos dpal spungs yang dben kun bzang bde chen 'od gsal gling du bris pa dpal ldan bla ma rnams kyi zhabs pad rdo rje ltar brtan cing | 'gro ba mtha' yas pa 'chi bdag gi g.yul las rnam par rgyal bar gyur cig ||
015(ba)005	snga 'gyur rnying lugs kyi bla ma brgyud pa'i gsol 'debs gzhan phan mtha' yas/	15	gZhan phan mtha' yas 'od zer	Tib	113	122	ces pa'ang btsun pa gzhan phan pas so ||
015(ba)006	rgyud thams cad kyi rgyal po sgyu 'phrul drwa ba ji ltar brgyud pa'i srol 'dzin gyi/_dge ba'i bshes banyen chen po rnams la gsol 'debs/	15	gZhan phan mtha' yas 'od zer	Tib	123	130	mdo sngags bstan pa'i nyin byed grub dbang rdzogs chen pa yab sras kyi bka' 'bang gi gral mthar sdod pa po rgyal sras gzhan phan mtha' yas 'od zer ro ||
