Derge	Lhasa	BuddhaNexus link
K08D0065 	H0065 	https://buddhanexus.net/tib/text/K08D0065_H0065
K08D0066 	H0066 	https://buddhanexus.net/tib/text/K08D0066_H0066
K08D0067 	H0067 	https://buddhanexus.net/tib/text/K08D0067_H0067
K08D0068 	H0068 	https://buddhanexus.net/tib/text/K08D0068_H0068
K08D0069 	H0069 	https://buddhanexus.net/tib/text/K08D0069_H0069
K08D0070 	H0070 	https://buddhanexus.net/tib/text/K08D0070_H0070
K08D0071 	H0071 	https://buddhanexus.net/tib/text/K08D0071_H0071
K08D0072 	H0072 	https://buddhanexus.net/tib/text/K08D0072_H0072
K08D0073 	H0073 	https://buddhanexus.net/tib/text/K08D0073_H0073
K08D0074 	H0074 	https://buddhanexus.net/tib/text/K08D0074_H0074
K08D0075 	H0075 	https://buddhanexus.net/tib/text/K08D0075_H0075
K08D0076 	H0076 	https://buddhanexus.net/tib/text/K08D0076_H0076
K08D0077 	H0077 	https://buddhanexus.net/tib/text/K08D0077_H0077
K08D0078 	H0078 	https://buddhanexus.net/tib/text/K08D0078_H0078
K08D0079 	H0079 	https://buddhanexus.net/tib/text/K08D0079_H0079
K08D0080 	H0080 	https://buddhanexus.net/tib/text/K08D0080_H0080
K08D0081 	H0081 	https://buddhanexus.net/tib/text/K08D0081_H0081
K08D0082 	H0082 	https://buddhanexus.net/tib/text/K08D0082_H0082
K08D0083 	H0083 	https://buddhanexus.net/tib/text/K08D0083_H0083
K08D0084 	H0084 	https://buddhanexus.net/tib/text/K08D0084_H0084
K08D0085 	H0085 	https://buddhanexus.net/tib/text/K08D0085_H0085
K08D0086 	H0086 	https://buddhanexus.net/tib/text/K08D0086_H0086
K08D0087 	H0087 	https://buddhanexus.net/tib/text/K08D0087_H0087
K08D0088 	H0088 	https://buddhanexus.net/tib/text/K08D0088_H0088
K08D0089 	H0089 	https://buddhanexus.net/tib/text/K08D0089_H0089
K08D0090=D0024 	H0090 	https://buddhanexus.net/tib/text/K08D0090_H0090
K08D0091 	H0091 	https://buddhanexus.net/tib/text/K08D0091_H0091
K08D0092 	H0092 	https://buddhanexus.net/tib/text/K08D0092_H0092
K08D0093 	H0093 	https://buddhanexus.net/tib/text/K08D0093_H0093
K08D0044 	H0094 	https://buddhanexus.net/tib/text/K08D0044_H0094
K09D0044-2 	H0094-2 	https://buddhanexus.net/tib/text/K09D0044-2_H0094-2
K09D0044-3 	H0094-3 	https://buddhanexus.net/tib/text/K09D0044-3_H0094-3
K09D0044-4 	H0094-4 	https://buddhanexus.net/tib/text/K09D0044-4_H0094-4
K09D0044-5 	H0094-5 	https://buddhanexus.net/tib/text/K09D0044-5_H0094-5
K09D0044-6 	H0094-6 	https://buddhanexus.net/tib/text/K09D0044-6_H0094-6
K09D0094 	H0095 	https://buddhanexus.net/tib/text/K09D0094_H0095
K10D0095 	H0096 	https://buddhanexus.net/tib/text/K10D0095_H0096
K10D0096 	H0097 	https://buddhanexus.net/tib/text/K10D0096_H0097
K10D0097 	H0098 	https://buddhanexus.net/tib/text/K10D0097_H0098
K10D0098=D0721 	H0099 	https://buddhanexus.net/tib/text/K10D0098=D0721_H0099
K10D0145=D0847 	H0100 	https://buddhanexus.net/tib/text/K10D0145=D0847_H0100
K10Dx 	H0101 	https://buddhanexus.net/tib/text/K10Dx_H0101
K10D0099 	H0102 	https://buddhanexus.net/tib/text/K10D0099_H0102
K10D0100 	H0103 	https://buddhanexus.net/tib/text/K10D0100_H0103
K10D0101 	H0104 	https://buddhanexus.net/tib/text/K10D0101_H0104
K10D0102 	H0105 	https://buddhanexus.net/tib/text/K10D0102_H0105
K10D0103 	H0106 	https://buddhanexus.net/tib/text/K10D0103_H0106
K10D0104 	H0107 	https://buddhanexus.net/tib/text/K10D0104_H0107
K10D0105 	H0108 	https://buddhanexus.net/tib/text/K10D0105_H0108
K10D0106 	H0109 	https://buddhanexus.net/tib/text/K10D0106_H0109
K10D0107 	H0110 	https://buddhanexus.net/tib/text/K10D0107_H0110
K10D0108 	H0111 	https://buddhanexus.net/tib/text/K10D0108_H0111
K10D0109 	H0112 	https://buddhanexus.net/tib/text/K10D0109_H0112
