					
		H0064	H039-002		D0064
		H0065	H039-003		D0065
		H0066	H039-004		D0066
		H0067	H039-005		D0067
		H0068	H039-006		D0068
		H0069	H039-007		D0069
		H0070	H039-008		D0070
		H0071	H039-009		D0071
		H0072	H039-010		D0072
		H0073	H039-011		D0073
		H0074	H039-012		D0074
		H0075	H039-013		D0075
		H0076	H039-014		D0076
		H0077	H039-015		D0077
		H0078	H039-016		D0078
		H0079	H039-017		D0079
		H0080	H040-001		D0080
		H0081	H040-002		D0081
		H0082	H040-003		D0082
		H0083	H040-004		D0083
		H0084	H040-005		D0084
		H0085	H040-006		D0085
		H0086	H040-007		D0086
		H0087	H040-008		D0087
		H0088	H040-009		D0088
		H0089	H040-010		D0089
		H0090	H040-011		D0090
		H0091	H040-012		D0091
		H0092	H040-013		D0092
		H0093	H040-014		D0093
		H0094	H041-001+H042-001+H043-001+H044-001+H045-001+H046-001		D0044
		H0094,001	H041-001		Dx
		H0094,002			Dx
		H0094,003			Dx
		H0094,004			Dx
		H0094,005			Dx
		H0094,006			Dx
		H0094,007			Dx
		H0094,008			Dx
		H0094,009			Dx
		H0094,010			Dx
		H0094,011			Dx
		H0094,012			Dx
		H0094,013			Dx
		H0094,014			Dx
		H0094,015			Dx
		H0094,016			Dx
		H0094,017			Dx
		H0094,018			Dx
		H0094,019			Dx
		H0094,020			Dx
		H0094,021	H042-001		Dx
		H0094,022			Dx
		H0094,023			Dx
		H0094,024			Dx
		H0094,025			Dx
		H0094,026			Dx
		H0094,027			Dx
		H0094,028			Dx
		H0094,029			Dx
		H0094,030	H042-001+H043-001		Dx
		H0094,031	H043-001		Dx
		H0094,032			Dx
		H0094,033			Dx
		H0094,034			Dx
		H0094,035			Dx
		H0094,036			Dx
		H0094,037			Dx
		H0094,038			Dx
		H0094,039	H044-001		Dx
		H0094,040			Dx
		H0094,041			Dx
		H0094,042			Dx
		H0094,043			Dx
		H0094,044	H044-001+H045-001		Dx
		H0094,045	H045-001+H046-001		Dx
		H0095	H047-001		D0094
		H0096	H048-001		D0095
		H0097	H048-002		D0096
		H0098	H048-003		D0097
		H0099	H048-004		D0098=D0721
		H0100	H048-005		D0145=D0847
		H0101	H048-006		Dx
		H0102	H049-001		D0099
		H0103	H049-002		D0100
		H0104	H050-001		D0101
		H0105	H050-002		D0102
		H0106	H050-003		D0103
		H0107	H050-004		D0104
		H0108	H050-005		D0105
		H0109	H051-001		D0106
		H0110	H051-002		D0107
		H0111	H051-003		D0108
		H0112	H051-004		D0109
		H0113	H052-001		D0110
		H0114	H052-002		D0111
		H0115	H052-003		D0112
		H0116	H053-001		D0113
		H0117	H053-002		D0114=D0527
		H0118	H053-003		D0115
		H0119	H053-004		D0116
		H0120	H053-005		D0117
		H0121	H053-006		D0118
		H0122	H054-001		D0120
		H0123	H054-002		D0121
		H0124	H054-003		D0122
		H0125	H054-004		D0123
		H0126	H054-005		D0124
		H0127	H054-006		D0125
		H0128	H054-007		D0126
		H0129	H055-001		D0127
		H0130	H055-002		D0128
		H0131	H055-003		D0129
		H0132	H055-004		D0130
		H0133	H055-005		D0131
		H0134	H055-006		D0132
		H0135	H056-001		D0133
		H0136	H056-002		D0134
		H0137	H056-003		D0136
		H0138	H056-004		D0135
		H0139	H056-005		D0137
		H0140	H056-006		D0138
		H0141	H056-007		D0139
